681240409 ;        9123;   ;transacc  ;681240409                               ;13072015      ;143357;200.10.12.55   ;OK ;597026007976        ;POST a url http://45.55.88.47/xt_compra.php                             
681240409 ;        9123;   ;transacc  ;681240409                               ;13072015      ;143357;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;        9123;   ;resultado ;20150713023322                          ;13072015      ;143357;200.10.12.55   ;OK ;                    ;tienda NO acepto transaccion                                            
          ;        9123;   ;resultado ;20150713023322                          ;13072015      ;143357;200.10.12.55   ;OK ;                    ;respuesta enviada a TBK (ERR)                                           
681240409 ;        9123;   ;resultado ;datoscom                                ;13072015      ;143357;200.10.12.55   ;Ok ;597026007976        ;Error al obtener ack (46)                                               
          ;        9123;   ;resultado ;20150713023322                          ;13072015      ;143357;200.10.12.55   ;ERR;                    ;46                                                                      
          ;        9721;   ;Filtro    ;Inicio                                  ;13072015      ;143652;186.67.203.10  ;OK ;                    ;Inicio de filtrado                                                      
          ;        9721;   ;Filtro    ;tbk_param.txt                           ;13072015      ;143652;186.67.203.10  ;OK ;                    ;Archivo parseado                                                        
          ;        9721;   ;Filtro    ;Terminado                               ;13072015      ;143652;186.67.203.10  ;OK ;                    ;Datos Filtrados con exito                                               
681261201 ;        9721;   ;pago      ;inicio                                  ;13072015      ;143652;186.67.203.10  ;OK ;597026007976        ;Parseo realizado                                                        
681261201 ;        9721;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;143652;186.67.203.10  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
681261201 ;        9721;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;143652;186.67.203.10  ;OK ;597026007976        ;Mac generado                                                            
681261201 ;        9721;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;143652;186.67.203.10  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
681261201 ;        9721;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;143652;186.67.203.10  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
681261201 ;        9721;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;143652;186.67.203.10  ;OK ;597026007976        ;Datos listos para ser enviados                                          
681261201 ;        9721;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;143652;186.67.203.10  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
681261201 ;        9721;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;143652;186.67.203.10  ;OK ;597026007976        ;Redireccion web                                                         
681261201 ;        9721;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;143652;186.67.203.10  ;OK ;597026007976        ;Todo OK                                                                 
          ;        9744;   ;resultado ;Desencriptando                          ;13072015      ;143814;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        9744;   ;resultado ;Validacion                              ;13072015      ;143814;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        9744;   ;resultado ;20150713023650                          ;13072015      ;143814;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;        9744;   ;resultado ;20150713023650                          ;13072015      ;143814;200.10.12.55   ;OK ;                    ;http://45.55.88.47/xt_compra.php                                        
681261201 ;        9744;   ;transacc  ;681261201                               ;13072015      ;143814;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
681261201 ;        9744;   ;resultado ;logro abrir_conexion                    ;13072015      ;143814;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
681261201 ;        9744;   ;transacc  ;681261201                               ;13072015      ;143814;200.10.12.55   ;OK ;597026007976        ;POST a url http://45.55.88.47/xt_compra.php                             
681261201 ;        9744;   ;transacc  ;681261201                               ;13072015      ;143814;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;        9744;   ;resultado ;20150713023650                          ;13072015      ;143814;200.10.12.55   ;OK ;                    ;tienda NO acepto transaccion                                            
          ;        9744;   ;resultado ;20150713023650                          ;13072015      ;143814;200.10.12.55   ;OK ;                    ;respuesta enviada a TBK (ERR)                                           
681261201 ;        9744;   ;resultado ;datoscom                                ;13072015      ;143814;200.10.12.55   ;Ok ;597026007976        ;Error al obtener ack (46)                                               
          ;        9744;   ;resultado ;20150713023650                          ;13072015      ;143814;200.10.12.55   ;ERR;                    ;46                                                                      
          ;        9771;   ;Filtro    ;Inicio                                  ;13072015      ;144013;186.67.203.10  ;OK ;                    ;Inicio de filtrado                                                      
          ;        9771;   ;Filtro    ;tbk_param.txt                           ;13072015      ;144013;186.67.203.10  ;OK ;                    ;Archivo parseado                                                        
          ;        9771;   ;Filtro    ;Terminado                               ;13072015      ;144013;186.67.203.10  ;OK ;                    ;Datos Filtrados con exito                                               
681281370 ;        9771;   ;pago      ;inicio                                  ;13072015      ;144013;186.67.203.10  ;OK ;597026007976        ;Parseo realizado                                                        
681281370 ;        9771;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;144013;186.67.203.10  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
